  ISU IEM BUFKIT STATION LISTING 20230730 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
NUM numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

NUM,LAT,LON,ID,NAME,LOC,EL(m),NOTE
000371,   44.17,  -122.06,  TSW , THREE SISTERS WEST               , OR,       9999,0
000372,   45.03,   -99.11,  FLK , FAULKTON                         , SD,       9999,0
000373,   45.46,   -96.99,  PEV , PEEVER                           , SD,       9999,0
000374,   38.28,   -95.22,  KK68, GARNETT AIRPORT                  , KS,       9999,0
000375,   39.86,   -96.63,  KMYZ, MARYSVILLE AIRPORT               , KS,       9999,0
000376,   44.38,  -106.72,  BYG , JOHNSON CTY/BUFFALO              , WY,       9999,0
000377,   44.52,  -108.08,  KGEY, GREYBULL AIRPORT                 , WY,       9999,0
000378,   45.10,   -90.30,  KMDZ, MEDFORD                          , WI,       9999,0
000379,   44.46,   -92.29,  82MN, LAKE CITY                        , MN,       9999,0
000380,   37.29,  -107.06,  KPSO, PAGOSA SPRINGS                   , CO,       9999,0
000381,   38.23,  -108.56,  KAIB, NUCLA                            , CO,       9999,0
000382,   40.05,  -107.89,  KEEO, MEEKER                           , CO,       9999,0
000383,   41.64,   -91.54,  KIOW, IOWA CITY                        , IA,       9999,0
000384,   39.05,  -105.51,  K4MB, WILKERSON PASS                   , CO,       9999,0
000385,   40.05,  -106.36,  K20V, KREMMLING                        , CO,       9999,0
000386,   38.76,   -87.61,  KLWV, LAWRENCEVILLE/VINCEN             , IL,       9999,0
000387,   39.07,   -88.53,  K1H2, EFFINGHAM CO MEM APT             , IL,       9999,0
000388,   40.94,   -90.43,  KGBG, GALESBURG                        , IL,       9999,0
000389,   39.77,   -90.24,  KIJX, JACKSONVILLE                     , IL,       9999,0
000390,   39.48,   -88.28,  KMTO, COLES CO MEM APT                 , IL,       9999,0
000391,   43.39,   -99.84,  KICR, WINNER                           , SD,       9999,0
000392,   43.02,  -102.52,  KIEN, PINE RIDGE                       , SD,       9999,0
000393,   43.89,  -104.32,  KECS, NEWCASTLE                        , WY,       9999,0
000394,   44.56,  -102.66,  UNIS, UNION CENTER                     , SD,       9999,0
000395,   43.74,  -105.74,  WGTW, WRIGHT                           , WY,       9999,0
000396,   46.15,   -89.21,  KLNL, LAND OLAKES                      , WI,       9999,0
000397,   46.54,   -87.39,  MQTM, MARQUETTE                        , MI,       9999,0
000398,   46.68,   -85.97,  GRMM, GRAND MARAIS                     , MI,       9999,0
000399,   46.61,   -88.91,  KTNM, KENTON                           , MI,       9999,0
000401,   28.00,   -87.00,  S#7 , GULF MEXI FOUS(G2GFC)-93         , CO,       0   ,0
000402,   28.20,   -93.70,  S#8 , GULF MEXI FOUS(G2GFH)-93         , CO,       0   ,0
000403,   28.50,   -92.30,  S#9 , GULF MEXI FOUS(G2GFI)-93         , CO,       0   ,0
000404,   27.90,   -91.00,  S#A , GULF MEXI FOUS(G2GFJ)-93         , CO,       0   ,0
000405,   28.00,   -89.00,  S#B , GULF MEXI FOUS(G2GFK)-93         , CO,       0   ,0
000406,   28.00,   -85.00,  S#C , GULF MEXI-93                     , OF,       0   ,0
000501,   31.00,   -79.00,  3J2 , ATLANTIC BLAKE PLATEAU FOUS-93   , --,       0   ,0
000502,   48.00,   -65.00,  AFA , ATLANTIC CHALEUR BAY FOUS-93     , --,       0   ,0
000601,   37.20,  -118.80,  C01 , NEAR YOSEMITE                    , CA,       2936,0 GCIP 5-98
000602,   47.61,  -103.26,  C02 , WOLFORD                          , ND,       762 ,0 GCIP 5-94
000603,   37.80,   -97.01,  C03 , TOWANDA                          , KS,       390 ,0 GCIP 5-94
000604,   34.60,   -94.30,  C04 , NEAR MENA                        , AR,       322 ,0 GCIP 5-94
000606,   37.90,   -95.20,  C06 , NEAR MORAN                       , KS,       337 ,0 GCIP 5-94
