      RAOB STATION LISTING 20181221 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
WMO numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

WMO,ICAO,NAME,LOC,EL(m),LAT,A,LON,B,

16044, LIPD, UDINE/CAMPOFORMIDO,         IY,   92,  46.03, N,   13.18, E
16045, LIPI, RIVOLTO AFB,                IY,   53,  45.98, N,   13.03, E
16080, LIML, MILANO/LINATE,              IY,  103,  45.43, N,    9.28, E
16088, LIPL, GHEDI (IT-AFB),             IY,   92,  45.42, N,   10.28, E
16113, ----, CUNEO-LEVALDIGI,            IY,  386,  44.53, N,    7.62, E
16129, LIQP, PALMARIA ISLAND,            IY,  192,  44.03, N,    9.83, E
16142, ----, RIFREDO MUGELLO,            IY,  887,  44.05, N,   11.38, E
16144, ----, S. PIETRO CAPOFIUME,        IY,   38,  44.65, N,   11.62, E
16148, LIPC, CERVIA (IT-AFB),            IY,   10,  44.22, N,   12.30, E
16170, LIRQ, FIRENZE,                    IY,   38,  43.80, N,   11.20, E
16242, ----, ROMA/FIUMICINO,             IY,    5,  41.80, N,   12.23, E
16245, LIRE, PRATICA DI MARE(AB),        IY,   12,  41.65, N,   12.43, E
16310, LIQK, CAPE PALINURO,              IY,  185,  40.02, N,   15.28, E
16316, LIBU, LATRONICO,                  IY,  896,  40.08, N,   16.02, E
16320, LIBR, BRINDISI/CASALE AFB,        IY,   10,  40.65, N,   17.95, E
16325, LIBH, MARINA DI GINOS,            IY,   12,  40.43, N,   16.88, E
16350, LIBC, CROTONE,                    IY,  161,  39.00, N,   17.07, E
16420, LICF, MESSINA,                    IY,   51,  38.20, N,   15.55, E
16429, LICT, TRAPANI/BIRGI (AFB),        IY,    7,  37.92, N,   12.50, E
16459, LICZ, SIGONELLA,                  IY,   22,  37.40, N,   14.92, E
16522, LIEH, CAPE CACCIA,                IY,  205,  40.57, N,    8.17, E
16546, LIED, DECIMOMANNU,                IY,   30,  39.35, N,    8.97, E
16560, LIEE, CAGLIARI/ELMAS(AFB),        IY,    1,  39.25, N,    9.05, E
16597, ----, LUQA,                    MALTA,   91,  35.85, N,   14.48, E
16610, ----, KOMOTINI,                   GR,   31,  41.12, N,   25.40, E
16622, LGTS, THESSALONIKI/MIKRA,         GR,    4,  40.52, N,   22.97, E
16706, LGHI, CHIOS AIRPORT,              GR,    4,  38.22, N,   26.13, E
16716, LGAT, ATHENS/HELLENKION,          GR,   15,  37.90, N,   23.73, E
16726, LGKL, KALAMATA,                   GR,    8,  37.07, N,   22.02, E
16744, ----, THIRA ISLAND,               GR,   36,  36.42, N,   25.43, E
16754, LGIR, IRAKLION (CIV/AFB),         GR,   39,  35.33, N,   25.18, E
16759, ----, TYMBAKION,                  GR,    7,  35.00, N,   24.75, E
16760, ----, KASTELI,                    GR,  360,  35.18, N,   25.32, E
17030, ----, SAMSUN CITY,                TU,    4,  41.28, N,   36.33, E
17038, LTCG, TRABZON,                    TU,   30,  41.00, N,   39.72, E
17042, ----, HOPA,                       TU,   33,  41.38, N,   41.42, E
17050, ----, EDIRNE,                     TU,   48,  41.67, N,   26.57, E
17062, ----, ISTANBUL/GOZTEPE,           TU,   33,  40.97, N,   29.08, E
17064, ----, ISTANBUL/KARTAL,            TU,   18,  40.90, N,   29.15, E
17067, ----, GOLCUK/DUMLUPINAR,          TU,   18,  40.72, N,   29.82, E
17068, ----, CENGIZTOPEL,                TU,   70,  40.73, N,   30.08, E
17095, ----, ERZURUM BOLGE,              TU, 1869,  39.90, N,   41.28, E
17100, ----, IGDIR,                      TU,  858,  39.93, N,   44.03, E
17130, ----, ANKARA/CENTRAL,             TU,  894,  39.95, N,   32.88, E
17160, ----, KIRSEHIR,                   TU,  995,  39.15, N,   34.17, E
17162, ----, GEMEREK,                    TU, 1171,  39.18, N,   36.07, E
17196, LTAM, KAISERI CITY,               TU, 1043,  38.72, N,   35.50, E
17200, LTAT, MALATYA/ERHAC,              TU,  849,  38.43, N,   38.08, E
17220, ----, IZMIR,                      TU,   29,  38.43, N,   27.17, E
17240, LTBM, ISPARTA,                    TU,  997,  37.75, N,   30.55, E
17250, ----, NIGDE,                      TU, 1208,  37.97, N,   34.68, E
17270, LTCH, SANLIURFA,                  TU,  549,  37.13, N,   38.77, E
17280, LTCC, DIYARBAKIR(CIV/AFB),        TU,  674,  37.88, N,   40.20, E
17281, ----, DIYABAKIR-BOLGE,            TU,  675,  37.90, N,   40.20, E
17300, ----, ANTALYA,                    TU,   43,  36.70, N,   30.73, E
17350, LTAG, ADANA/INCIRLIK,             TU,   66,  37.00, N,   35.42, E
17351, ----, ADANA/BOLGE,                TU,   28,  36.98, N,   35.35, E
17352, LTAF, ADANA/SAKIRPASA,            TU,   20,  36.98, N,   35.30, E
17600, LCPH, PAPHOS,                     CY,    8,  34.47, N,   32.25, E
17601, LCRA, AKROTIRI (RAF),             CY,   23,  34.58, N,   32.98, E
17606, ----, NICOSIA,                    CY,  224,  35.20, N,   33.30, E
17607, LCNC, NICOSIA/ATHALASSA,          CY,  161,  35.20, N,   33.40, E
17609, LCLK, LARNACA AIRPORT,            CY,    2,  34.88, N,   33.63, E
20046, ----, OSTROV KHEISA,           DK RA,   20,  80.62, N,   58.05, E
